timestamp_1;timestamp_2;score
1412242263.910747;1412242264.910452;0.135022
1412242264.010833;1412242265.010031;0.288052
1412242264.110734;1412242265.109657;0.107826
1412242264.210728;1412242265.209419;0.256894
1412242264.310768;1412242265.309321;0.321927
1412242264.410853;1412242265.409361;0.104121
1412242264.511031;1412242265.509447;0.350736
1412242264.611071;1412242265.609624;0.222391
1412242264.711019;1412242265.709802;0.225375
1412242264.810781;1412242265.809888;0.352975
1412242264.910452;1412242265.909835;0.678547
1412242265.010031;1412242266.009598;0.659157
1412242265.109657;1412242266.109315;0.218389
1412242263.910747;1412242264.910452;0.135022
1412242264.010833;1412242265.010031;0.288052
1412242264.110734;1412242265.109657;0.107826
1412242264.210728;1412242265.209419;0.256894
1412242264.310768;1412242265.309321;0.321927
1412242264.410853;1412242265.409361;0.104121
1412242264.511031;1412242265.509447;0.350736
1412242264.611071;1412242265.609624;0.222391
1412242264.711019;1412242265.709802;0.225375
1412242264.810781;1412242265.809888;0.352975
1412242264.910452;1412242265.909835;0.678547
1412242263.910747;1412242264.910452;0.135022
1412242264.010833;1412242265.010031;0.288052
1412242264.110734;1412242265.109657;0.107826
1412242264.210728;1412242265.209419;0.256894
1412242264.310768;1412242265.309321;0.321927
1412242264.410853;1412242265.409361;0.104121
1412242264.511031;1412242265.509447;0.350736
1412242264.611071;1412242265.609624;0.222391
1412242264.711019;1412242265.709802;0.225375
1412242264.810781;1412242265.809888;0.352975
1412242264.910452;1412242265.909835;0.678547
1412242265.010031;1412242266.009598;0.659157
1412242265.109657;1412242266.109315;0.218389
1412242265.209419;1412242266.209033;0.63141
1412242265.309321;1412242266.308841;0.707927
1412242265.409361;1412242266.408743;0.397893
1412242265.509447;1412242266.508737;0.622411
1412242265.609624;1412242266.608823;0.270999
1412242265.709802;1412242266.708723;0.250198
1412242265.809888;1412242266.808533;0.202004
1412242265.909835;1412242266.908250;0.156422
1412242266.009598;1412242267.007921;0.107031
1412242266.109315;1412242267.107592;0.230767
