timestamp_1;timestamp_2;score
1412242263.910747;1412242363.822327;203.378
1412242264.010833;1412242363.922044;197.844
1412242264.110734;1412242364.021946;374.133
1412242264.210728;1412242364.122032;411.035
1412242264.310768;1412242364.222163;384.33
1412242264.410853;1412242364.322433;408.843
1412242264.511031;1412242364.422703;398.345
1412242264.611071;1412242364.522927;393.546
1412242264.711019;1412242364.623013;399.907
1412242264.810781;1412242364.723006;406.054
1412242264.910452;1412242364.822908;382.774
1412242265.010031;1412242364.922763;431.798
1412242265.109657;1412242365.022526;442.267
1412242265.209419;1412242365.122243;438.552
1412242265.309321;1412242365.221915;440.893
1412242265.409361;1412242365.321723;495.375
1412242265.509447;1412242365.421671;493.846
1412242265.609624;1412242365.521757;486.562
1412242265.709802;1412242365.621750;499.459
1412242265.809888;1412242365.721697;472.478
1412242265.909835;1412242365.821553;448.362
1412242266.009598;1412242365.921316;455.155
1412242266.109315;1412242366.021217;426.114
1412242266.209033;1412242366.121119;413.51
1412242266.308841;1412242366.220974;368.171
1412242266.408743;1412242366.320830;390.281
1412242266.508737;1412242366.420777;357.341
1412242266.608823;1412242366.520863;359.461
1412242266.708723;1412242366.621087;361.828
1412242266.808533;1412242366.721264;324.666
1412242266.908250;1412242366.821304;322.649
1412242267.007921;1412242366.921436;306.294
1412242267.107592;1412242367.021522;307.73
1412242267.207309;1412242367.121561;192.326
1412242267.307119;1412242367.221371;178.632
1412242267.406973;1412242367.321180;169.274
1412242267.506967;1412242367.420896;91.5942
1412242267.606915;1412242367.520568;87.0715
1412242267.707001;1412242367.620285;71.6203
1412242267.807086;1412242367.720002;66.7775
1412242267.907218;1412242367.819673;51.2788
1412242268.007350;1412242367.919298;41.5993
1412242268.107389;1412242368.019015;30.5403
1412242268.207244;1412242368.118871;28.8104
1412242268.307008;1412242368.218863;26.5767
1412242268.406771;1412242368.318996;26.772
1412242268.506626;1412242368.419082;25.8395
1412242268.606620;1412242368.519075;26.8541
1412242268.706614;1412242368.618976;28.8538
1412242268.806561;1412242368.718786;33.3317
1412242268.906370;1412242368.818503;43.4849
