1412242263.910747;1412242263.910747;1.85255e-11
1412242264.010833;1412242264.010833;2.42521e-11
1412242264.110734;1412242264.110734;2.09687e-11
1412242264.210728;1412242264.210728;7.57477e-11
1412242264.310768;1412242264.310768;1.13229e-12
1412242264.410853;1412242264.410853;3.11714e-11
1412242264.511031;1412242264.511031;7.79202e-12
1412242264.611071;1412242264.611071;1.07105e-11
1412242264.711019;1412242264.711019;5.89186e-12
1412242264.810781;1412242264.810781;3.40865e-11
1412242264.910452;1412242264.910452;3.13642e-11
1412242265.010031;1412242265.010031;1.96145e-11
1412242265.109657;1412242265.109657;2.50848e-11
1412242265.209419;1412242265.209419;1.22231e-12
1412242265.309321;1412242265.309321;9.82353e-12
1412242265.409361;1412242265.409361;8.58101e-12
1412242265.509447;1412242265.509447;6.15246e-12
1412242265.609624;1412242265.609624;5.16301e-12
1412242265.709802;1412242265.709802;4.8449e-12
1412242265.809888;1412242265.809888;1.01197e-11
1412242265.909835;1412242265.909835;2.76457e-11
1412242266.009598;1412242266.009598;1.75319e-11
1412242266.109315;1412242266.109315;1.44417e-11
1412242266.209033;1412242266.209033;1.08478e-11
1412242266.308841;1412242266.308841;1.93712e-11
1412242266.408743;1412242266.408743;1.04134e-11
1412242266.508737;1412242266.508737;9.43377e-12
1412242266.608823;1412242266.608823;4.36784e-12
1412242266.708723;1412242266.708723;1.40994e-11
1412242266.808533;1412242266.808533;2.58699e-11
1412242266.908250;1412242266.908250;2.93078e-11
1412242267.007921;1412242267.007921;8.85684e-12
1412242267.107592;1412242267.107592;1.72291e-11
1412242267.207309;1412242267.207309;1.39316e-11
1412242267.307119;1412242267.307119;1.67582e-11
1412242267.406973;1412242267.406973;2.21479e-11
1412242267.506967;1412242267.506967;1.52695e-11
1412242267.606915;1412242267.606915;3.41768e-11
1412242267.707001;1412242267.707001;2.35421e-11
1412242267.807086;1412242267.807086;5.18361e-11
1412242267.907218;1412242267.907218;2.05568e-11
1412242268.007350;1412242268.007350;3.97448e-12
1412242268.107389;1412242268.107389;2.22716e-11
1412242268.207244;1412242268.207244;6.76217e-12
1412242268.307008;1412242268.307008;3.11963e-11
1412242268.406771;1412242268.406771;4.11696e-12
1412242268.506626;1412242268.506626;1.23398e-11
1412242268.606620;1412242268.606620;2.02744e-11
1412242268.706614;1412242268.706614;2.24851e-11
1412242268.806561;1412242268.806561;3.1148e-11
1412242268.906370;1412242268.906370;2.67979e-11
1412242269.006133;1412242269.006133;1.08388e-11
1412242269.105897;1412242269.105897;2.44774e-11
1412242269.205751;1412242269.205751;2.94972e-11
1412242269.305699;1412242269.305699;1.05611e-11
1412242269.405739;1412242269.405739;4.91836e-11
1412242269.505871;1412242269.505871;8.40309e-12
1412242269.606048;1412242269.606048;1.65187e-11
