x_1;y_1;z_1;phi_1;theta_1;psi_1;x_2;y_2;z_2;phi_2;theta_2;psi_2;d_x;d_y;d_z;d_phi;d_theta;d_psi
-1.494884848;0.6313564447;-0.7802387816;0.01206708825;0.005323119592;-2.206395261;-1.495602222;0.6312780497;-0.7842672141;0.01231011989;0.005310346507;-2.206369126;-0.000717374513;-7.83949872e-005;-0.004028432537;0.000243031642;-1.277308523e-005;2.613539488e-005
-1.496221505;0.6311464518;-0.7880445553;0.01248603503;0.005379433383;-2.206335576;-1.497441903;0.6314302507;-0.7921334864;0.01248472215;0.005361913165;-2.206363719;-0.00122039804;0.0002837988684;-0.004088931161;-1.312875269e-006;-1.752021741e-005;-2.814337297e-005
-1.498752862;0.6318939601;-0.7959098954;0.0121882426;0.005328215571;-2.206371283;-1.499907097;0.6322946969;-0.8002906137;0.0120307392;0.00537231663;-2.206321616;-0.001154234305;0.0004007368702;-0.004380718208;-0.0001575033986;4.410105891e-005;4.966710344e-005
-1.5008207;0.632432416;-0.8042989804;0.01204558429;0.005419790405;-2.206324192;-1.50164206;0.6325125268;-0.8085597325;0.01222533442;0.005368005618;-2.20638031;-0.0008213596716;8.011086829e-005;-0.004260752097;0.0001797501254;-5.178478684e-005;-5.611839403e-005
-1.502322838;0.6323927035;-0.8129510097;0.0125657347;0.005400455281;-2.20637558;-1.521306221;0.6303206712;-0.8187408109;0.01240781536;0.005320927555;-2.206352014;-0.01898338277;-0.002072032336;-0.005789801167;-0.0001579193386;-7.952772568e-005;2.356653296e-005
-1.522202966;0.6306402874;-0.8211458359;0.01223253672;0.00534067988;-2.206341362;-1.523696148;0.6312505939;-0.8258497451;0.01198316636;0.005388481914;-2.206349928;-0.001493181972;0.0006103064903;-0.00470390913;-0.0002493703617;4.780203475e-005;-8.566315621e-006
-1.524677491;0.6314389851;-0.8297673574;0.01200587908;0.005444384182;-2.206301245;-1.525783085;0.6313770638;-0.8344648343;0.01218020943;0.005394405603;-2.206342795;-0.00110559452;-6.192129535e-005;-0.004697476865;0.0001743303468;-4.997857825e-005;-4.155059574e-005
-1.526662289;0.6313576891;-0.8386921662;0.0123847025;0.005388254994;-2.206366447;-1.527682643;0.6316174669;-0.8435445007;0.01246766993;0.005377267495;-2.206339114;-0.001020354467;0.000259777742;-0.004852334413;8.296742913e-005;-1.098749836e-005;2.733376098e-005
-1.528965218;0.6321062737;-0.8481483571;0.01223765347;0.005420756027;-2.206319185;-1.530540626;0.6326297449;-0.8532422222;0.01203997248;0.005385563267;-2.206344287;-0.001575408583;0.0005234711505;-0.005093865068;-0.0001976809979;-3.519275964e-005;-2.510233114e-005
-1.531703511;0.632854313;-0.858196313;0.01197914764;0.005399357626;-2.206341364;-1.532436678;0.6329406375;-0.8627783772;0.01220740981;0.005414364559;-2.206331841;-0.0007331669394;8.632443191e-005;-0.004582064212;0.0002282621627;1.500693336e-005;9.523905221e-006
