x_1;y_1;z_1;phi_1;theta_1;psi_1;x_2;y_2;z_2;phi_2;theta_2;psi_2;d_x;d_y;d_z;d_phi;d_theta;d_psi
-1.428107991;0.6316655804;-0.6714971145;0.0123104744;0.005243668426;-2.206239618;-1.445118419;0.6336421467;-0.6987059623;0.01229083246;0.005278884872;-2.206254453;-0.01701042744;0.001976566289;-0.02720884777;-1.964193388e-005;3.521644597e-005;-1.483509074e-005
-1.44554456;0.6336921675;-0.7009665035;0.01243288083;0.005257976717;-2.2062693;-1.46206772;0.6334967191;-0.7298563467;0.01225747889;0.0052685126;-2.206329792;-0.0165231599;-0.000195448419;-0.02888984323;-0.000175401947;1.053588298e-005;-6.049146256e-005
-1.462858651;0.6336790892;-0.7331027764;0.01227904763;0.005266661725;-2.206334942;-1.478534471;0.6319782805;-0.7635629352;0.01233631397;0.005267362831;-2.206340598;-0.01567581995;-0.001700808758;-0.03046015886;5.72663415e-005;7.011066138e-007;-5.656332231e-006
-1.479175738;0.6319793447;-0.7669796262;0.01227970935;0.005304430807;-2.206344028;-1.5008207;0.632432416;-0.8042989804;0.01204558429;0.005419790405;-2.206324192;-0.02164496171;0.0004530712404;-0.03731935424;-0.000234125061;0.0001153595977;1.983672098e-005
-1.50164206;0.6325125268;-0.8085597325;0.01222533442;0.005368005618;-2.20638031;-1.530540626;0.6326297449;-0.8532422222;0.01203997248;0.005385563267;-2.206344287;-0.02889856666;0.0001172180652;-0.04468248961;-0.0001853619414;1.75576491e-005;3.602264244e-005
-1.531703511;0.632854313;-0.858196313;0.01197914764;0.005399357626;-2.206341364;-1.554900697;0.6318329355;-0.9079300438;0.01214435573;0.005393203834;-2.206322038;-0.02319718574;-0.00102137755;-0.0497337308;0.0001652080833;-6.153792481e-006;1.932679718e-005
-1.556181644;0.6323204968;-0.9131736649;0.01212536516;0.005421993724;-2.206335721;-1.580381745;0.6304399546;-0.9760607893;0.01228742451;0.005346254123;-2.206366023;-0.02420010123;-0.001880542144;-0.06288712441;0.0001620593499;-7.573960125e-005;-3.030222786e-005
-1.586083518;0.6262798896;-0.9718867646;0.01212058275;0.005389514055;-2.206367788;-1.600730403;0.6254349816;-1.01708315;0.01231959194;0.005371966846;-2.206397116;-0.01464688487;-0.0008449080009;-0.04519638578;0.0001990091881;-1.754720934e-005;-2.932735135e-005
-1.602082912;0.6259289946;-1.023835284;0.01233048572;0.005339209098;-2.206412927;-1.621564715;0.6257613798;-1.076416509;0.01220672182;0.005343672589;-2.206392786;-0.01948180368;-0.0001676147829;-0.05258122506;-0.0001237638998;4.463490925e-006;2.014052874e-005
-1.62253163;0.6261394204;-1.082897172;0.01237333106;0.005292550427;-2.206406618;-1.636926573;0.626376156;-1.133876197;0.01228159839;0.005303949302;-2.206401735;-0.0143949427;0.000236735679;-0.05097902494;-9.173267081e-005;1.1398875e-005;4.883179746e-006
-1.63804462;0.6269536127;-1.14237961;0.01231883377;0.005329322592;-2.206392185;-1.65267183;0.6254602772;-1.192071056;0.01223310802;0.005350650972;-2.206390437;-0.01462720943;-0.001493335466;-0.04969144588;-8.572574867e-005;2.132837983e-005;1.748130856e-006
-1.653480843;0.6259127294;-1.199569686;0.01231163123;0.005334842964;-2.206411113;-1.668476504;0.6243640314;-1.252257611;0.01232065344;0.005278620358;-2.206406638;-0.01499566157;-0.001548697932;-0.05268792508;9.022209275e-006;-5.62226057e-005;4.474224742e-006
-1.669326031;0.6248615848;-1.26084991;0.01235544101;0.005249992493;-2.206414254;-1.686172041;0.6213893177;-1.317518691;0.01229377489;0.005270425897;-2.20640119;-0.01684600957;-0.003472267113;-0.05666878147;-6.166611386e-005;2.043340373e-005;1.306443446e-005
-1.68684351;0.6217505022;-1.325822168;0.01229763079;0.005319601376;-2.206387684;-1.703014252;0.6178689428;-1.384216167;0.01233365082;0.005238269765;-2.206407057;-0.01617074207;-0.003881559334;-0.05839399835;3.602003342e-005;-8.133161037e-005;-1.937346483e-005
-1.703708668;0.6181368278;-1.394728943;0.01234874486;0.00531318302;-2.206396513;-1.717023684;0.6115122275;-1.45368223;0.0122789484;0.005298992767;-2.206421108;-0.01331501657;-0.006624600259;-0.05895328736;-6.979645821e-005;-1.419025238e-005;-2.459495216e-005
-1.717389159;0.6116225515;-1.46192126;0.0122847959;0.00535768166;-2.206418333;-1.73063069;0.6045773555;-1.517063557;0.01254140913;0.005328598048;-2.206363156;-0.01324153162;-0.007045196045;-0.05514229717;0.0002566132299;-2.908361261e-005;5.517705962e-005
-1.731023738;0.6047264625;-1.527558044;0.01246853904;0.005331772476;-2.206357107;-1.741241535;0.596441919;-1.583365569;0.01231937068;0.005328122084;-2.20633579;-0.01021779744;-0.008284543446;-0.05580752512;-0.000149168363;-3.650391832e-006;2.131737696e-005
-1.749197797;0.5877877302;-1.544818327;0.01231380527;0.005352070909;-2.206323659;-1.749820095;0.5866459796;-1.647922584;0.01230819692;0.005345807309;-2.206278283;-0.0006222980701;-0.001141750545;-0.1031042572;-5.60834779e-006;-6.263600609e-006;4.537609079e-005
-1.760971281;0.5778807202;-1.611508787;0.01223999215;0.005328291951;-2.206279295;-1.769631989;0.5666604358;-1.668248094;0.01221206886;0.005339761223;-2.206277388;-0.008660707336;-0.01122028442;-0.05673930753;-2.792329849e-005;1.146927183e-005;1.906669738e-006
-1.769467775;0.5664109584;-1.677623476;0.01224849285;0.005300643669;-2.206289435;-1.78107971;0.5540836542;-1.737471912;0.01234733727;0.005306703746;-2.206301415;-0.01161193439;-0.01232730428;-0.05984843628;9.88444188e-005;6.060076915e-006;-1.198067111e-005
-1.780852331;0.5537518172;-1.74927641;0.01232196549;0.005265013414;-2.206316546;-1.789374563;0.5420150425;-1.810740454;0.01236420445;0.005306462451;-2.206271656;-0.008522231983;-0.01173677472;-0.06146404401;4.223896324e-005;4.144903776e-005;4.489074316e-005
-1.789059853;0.541653761;-1.820726508;0.01230564447;0.005339145939;-2.206281676;-1.796281862;0.5290566487;-1.878885009;0.01240473589;0.005279992597;-2.206310395;-0.007222008367;-0.01259711236;-0.05815850081;9.909142318e-005;-5.915334201e-005;-2.871846923e-005
-1.795764656;0.5284958151;-1.891552459;0.01236464253;0.005333033594;-2.206313106;-1.750409366;0.4926197571;-2.011589545;0.01242584892;0.00529249267;-2.206337436;0.04535529056;-0.03587605799;-0.1200370868;6.120638809e-005;-4.054092444e-005;-2.433021289e-005
-1.749575961;0.4919228636;-2.022409623;0.01235181967;0.005346420819;-2.206331751;-1.640036002;0.4270941015;-2.208867227;0.01239780786;0.005276316723;-2.206321677;0.1095399596;-0.06482876209;-0.1864576047;4.598819006e-005;-7.010409597e-005;1.00734407e-005
-1.638110048;0.4257673512;-2.223011382;0.01241509024;0.005279930978;-2.206332133;-1.547907327;0.3698396043;-2.387221569;0.0124858511;0.005231851609;-2.206347345;0.09020272068;-0.05592774686;-0.1642101865;7.0760865e-005;-4.807936938e-005;-1.521188177e-005
-1.545764941;0.3684052562;-2.39938133;0.01247509733;0.005279171376;-2.206348917;-1.498471877;0.328946832;-2.520186068;0.0124480471;0.005276936739;-2.206357439;0.04729306458;-0.0394584242;-0.1208047385;-2.705022522e-005;-2.234636925e-006;-8.522022646e-006
-1.495429156;0.3269333235;-2.535625049;0.01251122433;0.005266181148;-2.206360236;-1.375989845;0.1976272905;-2.371019254;0.01240393539;0.005323097181;-2.206396414;0.1194393106;-0.129306033;0.1646057943;-0.0001072889377;5.691603322e-005;-3.617784336e-005
-1.376699725;0.196628844;-2.378613626;0.01245187956;0.005304893387;-2.206403514;-1.344341501;0.1706977331;-2.51398876;0.01252358059;0.005231817413;-2.206386355;0.03235822459;-0.02593111088;-0.1353751339;7.170102779e-005;-7.307597466e-005;1.71587821e-005
-1.339910487;0.1674480748;-2.530775026;0.01262743861;0.005222382489;-2.206416752;-1.284442863;0.180779036;-2.668357165;0.01099935193;0.004421809693;-2.206433247;0.05546762405;0.01333096114;-0.1375821395;-0.001628086683;-0.0008005727961;-1.649545707e-005
-1.273701276;0.1892241333;-2.681441521;0.01083581727;0.004424912561;-2.206544318;-1.403234464;0.7166902873;-2.228316108;0.007005014898;0.003646458111;-2.231300138;-0.129533188;0.5274661541;0.4531254136;-0.003830802371;-0.0007784544502;-0.02475581981
-1.370634966;0.7795139352;-2.242290561;0.006453935448;0.003631385659;-2.238054959;-0.9781488917;1.730155246;-2.091199307;0.006116162151;0.004446364291;-2.369471279;0.3924860739;0.9506413105;0.1510912539;-0.0003377732971;0.0008149786321;-0.13141632
-0.9093816306;1.828380505;-2.101989056;0.005848392146;0.004866032595;-2.385729086;0.1562884305;3.101872685;-2.017933463;0.01256830525;0.01140024683;-2.537848475;1.065670061;1.27349218;0.0840555931;0.0067199131;0.00653421424;-0.1521193893
0.3030797721;3.236116696;-2.02710727;0.01144150496;0.01064267985;-2.54919392;1.825433163;4.51844372;-2.00003018;0.01740013194;0.01448341899;-2.585906889;1.522353391;1.282327023;0.02707709055;0.005958626985;0.003840739147;-0.03671296962
1.970626865;4.621062157;-2.006269661;0.01701845724;0.01395178726;-2.582960375;3.745074236;6.038846215;-2.001899579;0.02287514714;0.0116734202;-2.503936758;1.77444737;1.417784058;0.004370081692;0.0058566899;-0.002278367062;0.07902361764
3.964363437;6.212920141;-2.012118478;0.02184414997;0.01159459044;-2.492104245;5.738864284;7.969316789;-2.025003777;0.02070227979;0.005641528869;-2.369981956;1.774500847;1.756396648;-0.0128852991;-0.001141870186;-0.005953061573;0.1221222893
